"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "XML", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"d:\Projects\EventBookingPlatform\ADMIN_ACCESS_GUIDE.md", "Markdown", 230, 0, 0, 0, 0, 0, 0, 0, 62, 292
"d:\Projects\EventBookingPlatform\API_REFERENCE_BOOKINGS_REVIEWS.md", "Markdown", 424, 0, 0, 0, 0, 0, 0, 0, 74, 498
"d:\Projects\EventBookingPlatform\CUSTOMER_BOOKINGS_REVIEWS_IMPLEMENTATION.md", "Markdown", 270, 0, 0, 0, 0, 0, 0, 0, 47, 317
"d:\Projects\EventBookingPlatform\DUMMY_CREDENTIALS.md", "Markdown", 100, 0, 0, 0, 0, 0, 0, 0, 41, 141
"d:\Projects\EventBookingPlatform\FEATURE_SUMMARY_BOOKINGS_REVIEWS.md", "Markdown", 114, 0, 0, 0, 0, 0, 0, 0, 32, 146
"d:\Projects\EventBookingPlatform\HALL_OWNER_IMPLEMENTATION.md", "Markdown", 349, 0, 0, 0, 0, 0, 0, 0, 55, 404
"d:\Projects\EventBookingPlatform\HALL_OWNER_QUICK_REFERENCE.md", "Markdown", 183, 0, 0, 0, 0, 0, 0, 0, 40, 223
"d:\Projects\EventBookingPlatform\IMPLEMENTATION_GUIDE.md", "Markdown", 440, 0, 0, 0, 0, 0, 0, 0, 85, 525
"d:\Projects\EventBookingPlatform\README.md", "Markdown", 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\Projects\EventBookingPlatform\ROLE_SELECTION_IMPLEMENTATION.md", "Markdown", 263, 0, 0, 0, 0, 0, 0, 0, 59, 322
"d:\Projects\EventBookingPlatform\client\README.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 8, 17
"d:\Projects\EventBookingPlatform\client\eslint.config.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"d:\Projects\EventBookingPlatform\client\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\Projects\EventBookingPlatform\client\package-lock.json", "JSON", 0, 4703, 0, 0, 0, 0, 0, 0, 1, 4704
"d:\Projects\EventBookingPlatform\client\package.json", "JSON", 0, 44, 0, 0, 0, 0, 0, 0, 1, 45
"d:\Projects\EventBookingPlatform\client\postcss.config.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\Projects\EventBookingPlatform\client\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\EventBookingPlatform\client\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 37, 0, 6, 43
"d:\Projects\EventBookingPlatform\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 93, 0, 12, 13, 118
"d:\Projects\EventBookingPlatform\client\src\api\adminApi.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 7, 9, 41
"d:\Projects\EventBookingPlatform\client\src\api\api.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 4, 4, 39
"d:\Projects\EventBookingPlatform\client\src\api\authApi.js", "JavaScript", 0, 0, 83, 0, 0, 0, 0, 15, 16, 114
"d:\Projects\EventBookingPlatform\client\src\api\customerApi.js", "JavaScript", 0, 0, 173, 0, 0, 0, 0, 1, 19, 193
"d:\Projects\EventBookingPlatform\client\src\api\hallOwnerApi.js", "JavaScript", 0, 0, 136, 0, 0, 0, 0, 10, 12, 158
"d:\Projects\EventBookingPlatform\client\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\EventBookingPlatform\client\src\components\ParticlesBackground.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 51, 0, 1, 6, 58
"d:\Projects\EventBookingPlatform\client\src\components\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 3, 6, 30
"d:\Projects\EventBookingPlatform\client\src\features\admin\AdminDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 128, 0, 4, 10, 142
"d:\Projects\EventBookingPlatform\client\src\features\admin\EnquiryManagement.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 241, 0, 7, 19, 267
"d:\Projects\EventBookingPlatform\client\src\features\admin\HallModeration.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 170, 0, 7, 15, 192
"d:\Projects\EventBookingPlatform\client\src\features\admin\PendingHallOwners.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 144, 0, 6, 12, 162
"d:\Projects\EventBookingPlatform\client\src\features\auth\GoogleCallback.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 194, 0, 11, 24, 229
"d:\Projects\EventBookingPlatform\client\src\features\auth\LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 266, 0, 13, 24, 303
"d:\Projects\EventBookingPlatform\client\src\features\auth\RegisterPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 284, 0, 14, 23, 321
"d:\Projects\EventBookingPlatform\client\src\features\customer\BookingPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 551, 0, 19, 42, 612
"d:\Projects\EventBookingPlatform\client\src\features\customer\CustomerDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 171, 0, 6, 13, 190
"d:\Projects\EventBookingPlatform\client\src\features\customer\HallDetailsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 501, 0, 22, 29, 552
